nama_variabel,status,tahun,nama_turunan_tahun,jumlah,daerah
"Jumlah Nikah, Talak dan Cerai, serta Rujuk",Talak dan Cerai,2013,Tahun,-,KEP. RIAU
"Jumlah Nikah, Talak dan Cerai, serta Rujuk",Talak dan Cerai,2013,Tahun,9282,DKI JAKARTA
"Jumlah Nikah, Talak dan Cerai, serta Rujuk",Talak dan Cerai,2013,Tahun,60160,JAWA BARAT
"Jumlah Nikah, Talak dan Cerai, serta Rujuk",Talak dan Cerai,2013,Tahun,70769,JAWA TENGAH
"Jumlah Nikah, Talak dan Cerai, serta Rujuk",Talak dan Cerai,2013,Tahun,5051,DI YOGYAKARTA
"Jumlah Nikah, Talak dan Cerai, serta Rujuk",Talak dan Cerai,2013,Tahun,85484,JAWA TIMUR
"Jumlah Nikah, Talak dan Cerai, serta Rujuk",Talak dan Cerai,2013,Tahun,7018,BANTEN
"Jumlah Nikah, Talak dan Cerai, serta Rujuk",Talak dan Cerai,2013,Tahun,-,BALI
"Jumlah Nikah, Talak dan Cerai, serta Rujuk",Talak dan Cerai,2013,Tahun,5373,NUSA TENGGARA BARAT
"Jumlah Nikah, Talak dan Cerai, serta Rujuk",Talak dan Cerai,2013,Tahun,301,NUSA TENGGARA TIMUR
"Jumlah Nikah, Talak dan Cerai, serta Rujuk",Talak dan Cerai,2013,Tahun,3443,KALIMANTAN BARAT
"Jumlah Nikah, Talak dan Cerai, serta Rujuk",Talak dan Cerai,2013,Tahun,1952,KALIMANTAN TENGAH
"Jumlah Nikah, Talak dan Cerai, serta Rujuk",Talak dan Cerai,2013,Tahun,6656,KALIMANTAN SELATAN
"Jumlah Nikah, Talak dan Cerai, serta Rujuk",Talak dan Cerai,2013,Tahun,6365,KALIMANTAN TIMUR
"Jumlah Nikah, Talak dan Cerai, serta Rujuk",Talak dan Cerai,2013,Tahun,-,KALIMANTAN UTARA
"Jumlah Nikah, Talak dan Cerai, serta Rujuk",Talak dan Cerai,2013,Tahun,1086,SULAWESI UTARA
"Jumlah Nikah, Talak dan Cerai, serta Rujuk",Talak dan Cerai,2013,Tahun,2067,SULAWESI TENGAH
"Jumlah Nikah, Talak dan Cerai, serta Rujuk",Talak dan Cerai,2013,Tahun,10690,SULAWESI SELATAN
"Jumlah Nikah, Talak dan Cerai, serta Rujuk",Talak dan Cerai,2013,Tahun,1736,SULAWESI TENGGARA
"Jumlah Nikah, Talak dan Cerai, serta Rujuk",Talak dan Cerai,2013,Tahun,1169,GORONTALO
"Jumlah Nikah, Talak dan Cerai, serta Rujuk",Talak dan Cerai,2013,Tahun,-,SULAWESI BARAT
"Jumlah Nikah, Talak dan Cerai, serta Rujuk",Talak dan Cerai,2013,Tahun,346,MALUKU
"Jumlah Nikah, Talak dan Cerai, serta Rujuk",Talak dan Cerai,2013,Tahun,683,MALUKU UTARA
"Jumlah Nikah, Talak dan Cerai, serta Rujuk",Talak dan Cerai,2013,Tahun,-,PAPUA BARAT
"Jumlah Nikah, Talak dan Cerai, serta Rujuk",Talak dan Cerai,2013,Tahun,1262,PAPUA
"Jumlah Nikah, Talak dan Cerai, serta Rujuk",Talak dan Cerai,2013,Tahun,324247,INDONESIA
"Jumlah Nikah, Talak dan Cerai, serta Rujuk",Rujuk,2013,Tahun,-,ACEH
"Jumlah Nikah, Talak dan Cerai, serta Rujuk",Rujuk,2013,Tahun,-,SUMATERA UTARA
"Jumlah Nikah, Talak dan Cerai, serta Rujuk",Rujuk,2013,Tahun,-,SUMATERA BARAT
"Jumlah Nikah, Talak dan Cerai, serta Rujuk",Rujuk,2013,Tahun,-,RIAU
"Jumlah Nikah, Talak dan Cerai, serta Rujuk",Rujuk,2013,Tahun,-,JAMBI
"Jumlah Nikah, Talak dan Cerai, serta Rujuk",Rujuk,2013,Tahun,-,SUMATERA SELATAN
"Jumlah Nikah, Talak dan Cerai, serta Rujuk",Rujuk,2013,Tahun,-,BENGKULU
"Jumlah Nikah, Talak dan Cerai, serta Rujuk",Rujuk,2013,Tahun,-,LAMPUNG
"Jumlah Nikah, Talak dan Cerai, serta Rujuk",Rujuk,2013,Tahun,-,KEP. BANGKA BELITUNG
"Jumlah Nikah, Talak dan Cerai, serta Rujuk",Rujuk,2013,Tahun,-,KEP. RIAU
"Jumlah Nikah, Talak dan Cerai, serta Rujuk",Rujuk,2013,Tahun,-,DKI JAKARTA
"Jumlah Nikah, Talak dan Cerai, serta Rujuk",Rujuk,2013,Tahun,3,JAWA BARAT
"Jumlah Nikah, Talak dan Cerai, serta Rujuk",Rujuk,2013,Tahun,-,JAWA TENGAH
"Jumlah Nikah, Talak dan Cerai, serta Rujuk",Rujuk,2013,Tahun,1,DI YOGYAKARTA
